cityFIPS combinedFIPS
51510 11001
51515 51019
51520 47163
51530 51163
51540 51003
51550 37029
51570 51041
51580 51005
51590 37033
51595 51081
51600 51059
51610 51013
51620 51093
51630 51177
51640 51035
51650 51131
51660 51165
51670 51041
51678 51163
51680 51009
51683 51153
51685 51153
51690 51089
51700 51093
51710 51131
51720 51195
51730 51041
51735 51131
51740 51550
51750 51121
51760 51041
51770 51161
51775 51161
51790 51015
51800 37029
51810 37053
51820 51015
51830 51095
51840 51069
